Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/15/2020,"1,892","5,814",2.54,0,"1,178",223,27,12,819
8/14/2020,"1,544","3,010",1.3,0,"1,310",130,0,0,383
8/13/2020,"1,972","5,953",2.58,0,"1,115",318,5,2,946
8/12/2020,"1,606","2,470",1.08,0,"1,190",188,0,0,470
8/11/2020,"1,931","9,076",4.46,0,"1,170",223,12,35,850
8/10/2020,"1,747","6,860",3.59,0,"1,263",136,6,35,597
8/9/2020,"1,384",216,0.09,0,"1,396",32,2,10,170
8/8/2020,"1,961","4,847",2.12,0,"1,137",293,5,5,920
8/7/2020,"1,641","2,809",1.23,0,"1,286",154,0,0,430
8/6/2020,"1,939","9,482",5.11,0,"1,195",190,6,49,827
8/5/2020,"1,797","4,310",1.88,0,"1,185",255,0,0,697
8/4/2020,"1,891","10,488",5.74,0,"1,222",139,10,69,785
8/3/2020,"1,759","7,252",3.68,0,"1,237",166,5,32,628
8/2/2020,"1,604","5,744",2.51,0,"1,314",88,4,34,443
8/1/2020,"1,247",0,0,0,"1,440",0,0,0,0
7/31/2020,"1,911","7,751",3.92,0,"1,194",210,5,31,809
7/30/2020,"1,714","6,588",3.42,0,"1,251",153,5,31,584
7/29/2020,"1,906","10,188",5.63,0,"1,230",130,15,65,783
7/28/2020,"1,985","11,056",5.77,0,"1,205",158,4,73,871
7/27/2020,"2,055","10,484",5.73,0,"1,182",165,34,59,952
7/26/2020,"1,525","3,782",1.99,0,"1,252",98,4,18,358
7/25/2020,"1,985","8,790",4.36,0,999,239,3,36,941
7/24/2020,"1,521","2,548",1.12,0,"1,341",87,7,5,297
7/23/2020,"1,656","5,743",2.98,0,"1,304",99,3,34,463
7/22/2020,"1,757","6,538",3.35,0,710,159,3,33,609
7/21/2020,"1,766","8,069",3.98,0,"1,269",131,5,35,601
7/20/2020,"2,042","12,439",6.41,0,"1,186",171,14,69,954
7/19/2020,"1,725","5,298",2.31,0,"1,255",167,8,10,590
7/18/2020,"1,811","5,083",2.22,0,"1,200",229,10,1,727
